time,ACE
2024-01-24 07:40:45,2.75
2024-01-24 07:41:00,-20.67
2024-01-24 07:41:15,38.19
2024-01-24 07:41:30,36.96
2024-01-24 07:41:45,32.84
2024-01-24 07:42:00,-54.72
2024-01-24 07:42:15,-120.18
2024-01-24 07:42:30,-125.66
2024-01-24 07:42:45,-112.79
2024-01-24 07:43:00,-101.16
2024-01-24 07:43:15,-167.82
2024-01-24 07:43:30,-236.75
2024-01-24 07:43:45,-128.55
2024-01-24 07:44:00,-63.44
2024-01-24 07:44:15,-70.6
2024-01-24 07:44:30,-63.1
2024-01-24 07:44:45,-1.31
2024-01-24 07:45:00,-15.01
2024-01-24 07:45:15,-97.23
2024-01-24 07:45:30,-118.99
2024-01-24 07:45:45,-248.13
2024-01-24 07:46:00,-179.66
2024-01-24 07:46:15,-158.02
2024-01-24 07:46:30,-151.47
2024-01-24 07:46:45,21.26
2024-01-24 07:47:00,87.68
2024-01-24 07:47:15,92.32
2024-01-24 07:47:30,81.23
2024-01-24 07:47:45,152.29
2024-01-24 07:48:00,168.1
2024-01-24 07:48:15,189.97
2024-01-24 07:48:30,151.82
2024-01-24 07:48:45,160.25
2024-01-24 07:49:00,221.14
2024-01-24 07:49:15,114.95
2024-01-24 07:49:30,144.54
2024-01-24 07:49:45,136.79
2024-01-24 07:50:00,138.15
2024-01-24 07:50:15,171.58
2024-01-24 07:50:30,121.39
2024-01-24 07:50:45,37.3
2024-01-24 07:51:00,60.22
2024-01-24 07:51:15,48.68
2024-01-24 07:51:30,49.35
2024-01-24 07:51:45,90.66
2024-01-24 07:52:00,82.14
2024-01-24 07:52:15,80.86
2024-01-24 07:52:30,-6.12
2024-01-24 07:52:45,-52.48
2024-01-24 07:53:00,7.36
2024-01-24 07:53:15,118.48
2024-01-24 07:53:30,142.74
2024-01-24 07:53:45,88.44
2024-01-24 07:54:00,84.17
2024-01-24 07:54:15,118.15
2024-01-24 07:54:30,32.36
2024-01-24 07:54:45,69.14
2024-01-24 07:55:00,36.2
2024-01-24 07:55:15,81.13
2024-01-24 07:55:30,124.05
2024-01-24 07:55:45,143.97
2024-01-24 07:56:00,187.65
2024-01-24 07:56:15,183.06
2024-01-24 07:56:30,66.98
2024-01-24 07:56:45,39.18
2024-01-24 07:57:00,107.63
2024-01-24 07:57:15,144.17
2024-01-24 07:57:30,158.41
2024-01-24 07:57:45,94.81
2024-01-24 07:58:00,38.42
2024-01-24 07:58:15,125.13
2024-01-24 07:58:30,187.32
2024-01-24 07:58:45,205.3
2024-01-24 07:59:00,239.88
2024-01-24 07:59:15,200.05
2024-01-24 07:59:30,122.29
2024-01-24 07:59:45,179.14
2024-01-24 08:00:00,169.3
2024-01-24 08:00:15,254.36
2024-01-24 08:00:30,270.6
2024-01-24 08:00:45,305.21
2024-01-24 08:01:00,316.2
2024-01-24 08:01:15,208.82
2024-01-24 08:01:30,95.99
2024-01-24 08:01:45,83.09
2024-01-24 08:02:00,183.38
2024-01-24 08:02:15,192.31
2024-01-24 08:02:30,193.46
2024-01-24 08:02:45,253.34
2024-01-24 08:03:00,249.09
2024-01-24 08:03:15,219.33
2024-01-24 08:03:30,243.78
2024-01-24 08:03:45,274.84
2024-01-24 08:04:00,366.55
2024-01-24 08:04:15,267.61
2024-01-24 08:04:30,302.03
2024-01-24 08:04:45,228.37
2024-01-24 08:05:00,150.78
2024-01-24 08:05:15,101.04
2024-01-24 08:05:30,181.35
2024-01-24 08:05:45,250.53
2024-01-24 08:06:00,246.23
2024-01-24 08:06:15,280.62
2024-01-24 08:06:30,295.52
2024-01-24 08:06:45,336.15
2024-01-24 08:07:00,438.56
2024-01-24 08:07:15,385.27
2024-01-24 08:07:30,385.62
2024-01-24 08:07:45,436.17
2024-01-24 08:08:00,375.6
2024-01-24 08:08:15,318.83
2024-01-24 08:08:30,233.7
2024-01-24 08:08:45,224.59
2024-01-24 08:09:00,308.19
2024-01-24 08:09:15,294.08
2024-01-24 08:09:30,381.59
2024-01-24 08:09:45,448.43
2024-01-24 08:10:00,480.56
2024-01-24 08:10:15,341.64
2024-01-24 08:10:30,337.06
2024-01-24 08:10:45,292.63
2024-01-24 08:11:00,246.81
2024-01-24 08:11:15,187.3
2024-01-24 08:11:30,242.39
2024-01-24 08:11:45,224.07
2024-01-24 08:12:00,219.88
2024-01-24 08:12:15,232.06
2024-01-24 08:12:30,240.99
2024-01-24 08:12:45,158.33
2024-01-24 08:13:00,201.68
2024-01-24 08:13:15,233.4
2024-01-24 08:13:30,303.48
2024-01-24 08:13:45,209.01
2024-01-24 08:14:00,259.76
2024-01-24 08:14:15,269.34
2024-01-24 08:14:30,266.98
2024-01-24 08:14:45,303.05
2024-01-24 08:15:00,363.27
2024-01-24 08:15:15,397.14
2024-01-24 08:15:30,368.67
2024-01-24 08:15:45,384.97
2024-01-24 08:16:00,228.46
2024-01-24 08:16:15,214.96
2024-01-24 08:16:30,163.5
2024-01-24 08:16:45,167.93
2024-01-24 08:17:00,344.73
2024-01-24 08:17:15,446.76
2024-01-24 08:17:30,399.54
2024-01-24 08:17:45,381.93
2024-01-24 08:18:00,250.22
2024-01-24 08:18:15,144.81
2024-01-24 08:18:30,135.91
2024-01-24 08:18:45,273.47
2024-01-24 08:19:00,392.0
2024-01-24 08:19:15,510.52
2024-01-24 08:19:30,514.33
2024-01-24 08:19:45,533.36
2024-01-24 08:20:00,552.12
2024-01-24 08:20:15,534.71
2024-01-24 08:20:30,533.29
2024-01-24 08:20:45,546.17
2024-01-24 08:21:00,605.84
2024-01-24 08:21:15,591.92
2024-01-24 08:21:30,596.6
2024-01-24 08:21:45,616.33
2024-01-24 08:22:00,645.71
2024-01-24 08:22:15,638.29
2024-01-24 08:22:30,643.86
2024-01-24 08:22:45,595.2
2024-01-24 08:23:00,611.95
2024-01-24 08:23:15,606.03
2024-01-24 08:23:30,603.73
2024-01-24 08:23:45,463.74
2024-01-24 08:24:00,261.85
2024-01-24 08:24:15,140.41
2024-01-24 08:24:30,183.04
2024-01-24 08:24:45,217.36
2024-01-24 08:25:00,321.81
2024-01-24 08:25:15,324.63
2024-01-24 08:25:30,386.57
2024-01-24 08:25:45,375.3
2024-01-24 08:26:00,239.82
2024-01-24 08:26:15,212.59
2024-01-24 08:26:30,219.14
2024-01-24 08:26:45,252.39
2024-01-24 08:27:00,303.6
2024-01-24 08:27:15,388.96
2024-01-24 08:27:30,358.78
2024-01-24 08:27:45,244.73
2024-01-24 08:28:00,199.86
2024-01-24 08:28:15,48.43
2024-01-24 08:28:30,117.2
2024-01-24 08:28:45,227.47
2024-01-24 08:29:00,318.88
2024-01-24 08:29:15,191.99
2024-01-24 08:29:30,152.36
2024-01-24 08:29:45,151.7
2024-01-24 08:30:00,241.42
2024-01-24 08:30:15,337.17
2024-01-24 08:30:30,285.44
2024-01-24 08:30:45,315.95
2024-01-24 08:31:00,404.98
2024-01-24 08:31:15,508.36
2024-01-24 08:31:30,429.02
2024-01-24 08:31:45,287.45
2024-01-24 08:32:00,280.23
2024-01-24 08:32:15,326.39
2024-01-24 08:32:30,352.14
2024-01-24 08:32:45,361.35
2024-01-24 08:33:00,487.23
2024-01-24 08:33:15,467.87
2024-01-24 08:33:30,497.78
2024-01-24 08:33:45,471.33
2024-01-24 08:34:00,479.23
2024-01-24 08:34:15,444.21
2024-01-24 08:34:30,501.25
2024-01-24 08:34:45,611.68
2024-01-24 08:35:00,665.29
2024-01-24 08:35:15,747.72
2024-01-24 08:35:30,733.77
2024-01-24 08:35:45,671.72
2024-01-24 08:36:00,655.83
2024-01-24 08:36:15,659.66
2024-01-24 08:36:30,689.95
2024-01-24 08:36:45,728.15
2024-01-24 08:37:00,676.95
2024-01-24 08:37:15,600.58
2024-01-24 08:37:30,678.46
2024-01-24 08:37:45,623.19
2024-01-24 08:38:00,592.25
2024-01-24 08:38:15,575.38
2024-01-24 08:38:30,511.48
2024-01-24 08:38:45,425.99
2024-01-24 08:39:00,412.59
2024-01-24 08:39:15,386.22
2024-01-24 08:39:30,284.17
2024-01-24 08:39:45,311.26
2024-01-24 08:40:00,337.65
2024-01-24 08:40:15,279.79
2024-01-24 08:40:30,351.71
2024-01-24 08:40:45,372.92
2024-01-24 08:41:00,361.94
2024-01-24 08:41:15,437.4
2024-01-24 08:41:30,517.34
2024-01-24 08:41:45,618.18
2024-01-24 08:42:00,590.85
2024-01-24 08:42:15,574.16
2024-01-24 08:42:30,582.61
2024-01-24 08:42:45,585.74
2024-01-24 08:43:00,606.73
2024-01-24 08:43:15,626.48
2024-01-24 08:43:30,564.29
2024-01-24 08:43:45,526.79
2024-01-24 08:44:00,502.81
2024-01-24 08:44:15,495.16
2024-01-24 08:44:30,535.41
2024-01-24 08:44:45,575.21
2024-01-24 08:45:00,589.47
2024-01-24 08:45:15,551.8
2024-01-24 08:45:30,555.89
2024-01-24 08:45:45,533.81
2024-01-24 08:46:00,562.19
2024-01-24 08:46:15,519.14
2024-01-24 08:46:30,539.23
2024-01-24 08:46:45,551.58
2024-01-24 08:47:00,487.16
2024-01-24 08:47:15,562.95
2024-01-24 08:47:30,466.29
2024-01-24 08:47:45,361.11
2024-01-24 08:48:00,332.73
2024-01-24 08:48:15,287.3
2024-01-24 08:48:30,213.35
2024-01-24 08:48:45,179.76
2024-01-24 08:49:00,181.64
2024-01-24 08:49:15,205.41
2024-01-24 08:49:30,238.37
2024-01-24 08:49:45,224.71
2024-01-24 08:50:00,232.6
2024-01-24 08:50:15,316.47
2024-01-24 08:50:30,312.95
2024-01-24 08:50:45,296.22
2024-01-24 08:51:00,383.27
2024-01-24 08:51:15,348.04
2024-01-24 08:51:30,346.07
2024-01-24 08:51:45,262.83
2024-01-24 08:52:00,227.93
2024-01-24 08:52:15,223.64
2024-01-24 08:52:30,317.1
2024-01-24 08:52:45,282.92
2024-01-24 08:53:00,204.12
2024-01-24 08:53:15,217.02
2024-01-24 08:53:30,252.43
2024-01-24 08:53:45,216.57
2024-01-24 08:54:00,38.17
2024-01-24 08:54:15,39.0
2024-01-24 08:54:30,-43.07
2024-01-24 08:54:45,-6.42
2024-01-24 08:55:00,-0.77
2024-01-24 08:55:15,40.49
2024-01-24 08:55:30,-41.74
2024-01-24 08:55:45,-60.59
2024-01-24 08:56:00,-200.37
2024-01-24 08:56:15,-208.65
2024-01-24 08:56:30,-228.7
2024-01-24 08:56:45,-240.16
2024-01-24 08:57:00,-217.29
2024-01-24 08:57:15,-160.32
2024-01-24 08:57:30,-158.52
2024-01-24 08:57:45,
2024-01-24 08:58:00,-15.82
2024-01-24 08:58:15,107.82
2024-01-24 08:58:30,178.39
2024-01-24 08:58:45,81.88
2024-01-24 08:59:00,55.88
2024-01-24 08:59:15,41.1
2024-01-24 08:59:30,65.38
2024-01-24 08:59:45,75.21
2024-01-24 09:00:00,121.79
2024-01-24 09:00:15,0.98
2024-01-24 09:00:30,-52.48
2024-01-24 09:00:45,-51.25
2024-01-24 09:01:00,-64.39
2024-01-24 09:01:15,-11.43
2024-01-24 09:01:30,-42.56
2024-01-24 09:01:45,-61.33
2024-01-24 09:02:00,-119.76
2024-01-24 09:02:15,-90.23
