date,value
2014-08-07 08:00:00,37.7
2014-08-07 05:00:00,36.86
2014-08-08 08:00:00,36.56
2014-08-08 05:00:00,37.18
2014-08-11 08:00:00,37.79
2014-08-11 05:00:00,37.97
2014-08-12 08:00:00,38.14
2014-08-12 05:00:00,37.52
2014-08-13 08:00:00,37.64
2014-08-13 05:00:00,38.12
2014-08-14 08:00:00,38.5
2014-08-14 05:00:00,39.57
2014-08-15 08:00:00,39.98
2014-08-15 05:00:00,39.19
2014-08-18 08:00:00,39.6
2014-08-18 05:00:00,40.66
2014-08-19 08:00:00,40.96
2014-08-19 05:00:00,40.43
2014-08-20 08:00:00,40.4
2014-08-20 05:00:00,40.6
2014-08-21 08:00:00,40.75
2014-08-21 05:00:00,39.51
2014-08-22 08:00:00,39.6
2014-08-22 05:00:00,39.85
2014-08-25 08:00:00,40.23
2014-08-25 05:00:00,39.42
2014-08-26 08:00:00,39.55
2014-08-26 05:00:00,39.09
2014-08-27 08:00:00,39.36
2014-08-27 05:00:00,38.99
2014-08-28 08:00:00,38.71
2014-08-28 05:00:00,39.17
2014-08-29 08:00:00,39.1
2014-08-29 05:00:00,38.881
2014-09-02 08:00:00,39.0
2014-09-02 05:00:00,40.5
2014-09-03 08:00:00,39.73
2014-09-03 05:00:00,39.14
2014-09-04 08:00:00,39.37
2014-09-04 05:00:00,38.47
2014-09-05 08:00:00,38.51
2014-09-05 05:00:00,37.85
2014-09-08 08:00:00,37.96
2014-09-08 05:00:00,38.23
2014-09-09 08:00:00,37.63
2014-09-09 05:00:00,37.96
2014-09-10 08:00:00,37.93
2014-09-10 05:00:00,38.58
2014-09-11 08:00:00,38.73
2014-09-11 05:00:00,38.09
2014-09-12 08:00:00,38.09
2014-09-12 05:00:00,37.65
2014-09-15 08:00:00,37.6
2014-09-15 05:00:00,37.07
2014-09-16 08:00:00,37.0
2014-09-16 05:00:00,37.98
2014-09-17 08:00:00,37.92
2014-09-17 05:00:00,37.46
2014-09-18 08:00:00,37.7
2014-09-18 05:00:00,38.05
2014-09-19 08:00:00,38.06
2014-09-19 05:00:00,36.63
2014-09-22 08:00:00,37.0
2014-09-22 05:00:00,35.58
2014-09-23 08:00:00,35.04
2014-09-23 05:00:00,35.33
2014-09-24 08:00:00,35.47
2014-09-24 05:00:00,36.12
2014-09-25 08:00:00,35.88
2014-09-25 05:00:00,35.21
