Local Time,LMP
2023-02-03 00:20:00,48.89
2023-02-03 00:25:00,47.97
2023-02-03 00:30:00,47.97
2023-02-03 00:35:00,47.78
2023-02-03 00:40:00,47.25
2023-02-03 00:45:00,46.13
2023-02-03 00:50:00,46.13
2023-02-03 00:55:00,43.91
2023-02-03 01:00:00,43.91
2023-02-03 01:05:00,46.33
2023-02-03 01:10:00,46.33
2023-02-03 01:15:00,46.19
2023-02-03 01:20:00,46.19
2023-02-03 01:25:00,46.06
2023-02-03 01:30:00,46.06
2023-02-03 01:35:00,0.01
2023-02-03 01:40:00,0.01
2023-02-03 01:45:00,0.0
2023-02-03 01:50:00,0.01
2023-02-03 01:55:00,-1.06
2023-02-03 02:00:00,-1.06
2023-02-03 02:05:00,0.0
2023-02-03 02:10:00,0.0
2023-02-03 02:15:00,0.0
2023-02-03 02:20:00,0.0
2023-02-03 02:25:00,38.97
2023-02-03 02:30:00,38.97
2023-02-03 02:35:00,0.0
2023-02-03 02:40:00,0.0
2023-02-03 02:45:00,0.0
2023-02-03 02:50:00,0.0
2023-02-03 02:55:00,0.0
2023-02-03 03:00:00,0.0
2023-02-03 03:05:00,0.0
2023-02-03 03:10:00,0.0
2023-02-03 03:15:00,0.0
2023-02-03 03:20:00,0.0
2023-02-03 03:25:00,0.01
2023-02-03 03:30:00,20.22
2023-02-03 03:35:00,20.22
2023-02-03 03:40:00,20.22
2023-02-03 03:45:00,45.05
2023-02-03 03:50:00,0.01
2023-02-03 03:55:00,0.01
2023-02-03 04:00:00,38.91
2023-02-03 04:05:00,38.91
2023-02-03 04:10:00,-1.05
2023-02-03 04:15:00,-19.41
2023-02-03 04:20:00,-19.41
2023-02-03 04:25:00,0.0
2023-02-03 04:30:00,0.0
2023-02-03 04:35:00,-26.21
2023-02-03 04:40:00,-30.46
2023-02-03 04:45:00,-26.49
2023-02-03 04:50:00,-27.36
2023-02-03 04:55:00,-56.51
2023-02-03 05:00:00,-56.51
2023-02-03 05:05:00,-29.67
2023-02-03 05:10:00,-29.67
2023-02-03 05:15:00,-18.84
2023-02-03 05:20:00,0.0
2023-02-03 05:25:00,47.3
2023-02-03 05:30:00,47.3
